__time,joint1_position,joint2_position,joint3_position,joint4_position,joint5_position,joint6_position
1664545412.17061,-0.988784,1.890357,0.417818,1.943554,-1.179631,-2.376136
1664545412.19098,-0.992397,1.890971,0.417227,1.945088,-1.179631,-2.37767
1664545412.21049,-0.995751,1.891573,0.416523,1.945088,-1.179631,-2.376136
1664545412.23082,-0.998847,1.892187,0.41583,1.945088,-1.179631,-2.37767
1664545412.25091,-1.001652,1.892745,0.415126,1.943554,-1.179631,-2.37767
1664545412.27034,-1.004054,1.893283,0.414277,1.945088,-1.179631,-2.376136
1664545412.29092,-1.006352,1.893785,0.413687,1.945088,-1.179631,-2.376136
1664545412.31053,-1.008495,1.894273,0.413055,1.945088,-1.179631,-2.37767
1664545412.33058,-1.010545,1.894731,0.412413,1.943554,-1.179631,-2.376136
1664545412.35126,-1.012502,1.895194,0.411916,1.945088,-1.179631,-2.376136
1664545412.37073,-1.014345,1.895608,0.411368,1.945088,-1.179631,-2.37767
1664545412.39115,-1.016012,1.896028,0.410747,1.943554,-1.179631,-2.376136
1664545412.41069,-1.017554,1.896429,0.41027,1.945088,-1.179631,-2.376136
1664545412.43118,-1.018941,1.896804,0.409877,1.943554,-1.179631,-2.376136
1664545412.45081,-1.020287,1.897174,0.409349,1.943554,-1.179631,-2.37767
1664545412.47071,-1.021561,1.897531,0.408893,1.945088,-1.179631,-2.376136
1664545412.49068,-1.022751,1.897882,0.408541,1.943554,-1.179631,-2.37767
1664545412.5109,-1.023766,1.898227,0.408231,1.945088,-1.179631,-2.376136
1664545412.53068,-1.024708,1.898546,0.407869,1.945088,-1.179631,-2.376136
1664545412.5409,-1.025184,1.89869,0.407579,1.945088,-1.181165,-2.376136
1664545412.56112,-1.026033,1.899022,0.406989,1.945088,-1.179631,-2.376136
1664545412.58079,-1.026696,1.899298,0.406626,1.945088,-1.179631,-2.37767
1664545412.60107,-1.027141,1.899542,0.406347,1.945088,-1.181165,-2.37767
1664545412.62117,-1.027544,1.899774,0.406077,1.943554,-1.181165,-2.376136
1664545412.64114,-1.027907,1.899981,0.405777,1.945088,-1.179631,-2.376136
1664545412.66062,-1.028176,1.900181,0.405549,1.943554,-1.179631,-2.374602
1664545412.68086,-1.028228,1.900326,0.405425,1.94202,-1.175029,-2.373068
1664545412.70079,-1.028218,1.900419,0.40527,1.940486,-1.171961,-2.37
1664545412.72139,-1.028041,1.900495,0.405115,1.938952,-1.167359,-2.366932
1664545412.74092,-1.027348,1.900495,0.405053,1.935884,-1.162758,-2.36233
1664545412.76084,-1.026313,1.900495,0.405042,1.93435,-1.158156,-2.357728
1664545412.79092,-1.024408,1.900463,0.405042,1.929748,-1.150486,-2.351593
1664545412.80121,-1.023631,1.900438,0.405042,1.928214,-1.145884,-2.348525
1664545412.82119,-1.021861,1.900401,0.405042,1.925146,-1.141282,-2.343923
1664545412.84976,-1.018755,1.900319,0.405053,1.920544,-1.132078,-2.336253
1664545412.87006,-1.01625,1.90025,0.405053,1.91901,-1.124408,-2.330117
1664545412.8902,-1.013392,1.900175,0.405063,1.915942,-1.119806,-2.325515
1664545412.91045,-1.010276,1.900062,0.405073,1.91134,-1.112136,-2.320913
1664545412.93027,-1.007005,1.899843,0.405135,1.908272,-1.106,-2.316311
1664545412.95005,-1.003361,1.899605,0.405208,1.90367,-1.09833,-2.308641
1664545412.97057,-0.999468,1.899373,0.405291,1.900602,-1.092194,-2.302505
1664545412.99004,-0.995441,1.899154,0.405405,1.896,-1.084524,-2.296369
1664545413.01024,-0.991299,1.898828,0.405539,1.892932,-1.073787,-2.288699
1664545413.03045,-0.986931,1.898333,0.405705,1.88833,-1.064583,-2.281029
1664545413.05018,-0.982458,1.89797,0.405943,1.882195,-1.053845,-2.271826
1664545413.07006,-0.977934,1.897494,0.406378,1.877593,-1.043107,-2.261088
1664545413.09011,-0.973265,1.897049,0.406957,1.871457,-1.032369,-2.251884
1664545413.11038,-0.968492,1.89656,0.407775,1.866855,-1.021631,-2.244214
1664545413.13005,-0.963564,1.89599,0.408645,1.860719,-1.010893,-2.23501
1664545413.15028,-0.958378,1.895476,0.409577,1.856117,-0.998622,-2.224272
1664545413.17017,-0.952953,1.894956,0.410581,1.849981,-0.984816,-2.213534
